"TIV of arms exports to all, 2016-2017",,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,
Figures may not add up due to the conventions of rounding.,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,
,,,,
,,,,
Source: SIPRI Arms Transfers Database,,,,
Generated: 13 May 2018,,,,
,,,,
,2016,2017,Total
Afghanistan,176,250,426
Albania,,0,0
Algeria,2887,905,3792
Angola,124,204,328
Argentina,17,49,66
Armenia,110,14,124
Australia,1053,1806,2859
Austria,13,8,20
Azerbaijan,272,279,551
Bahamas,20,12,32
Bahrain,16,32,49
Bangladesh,439,320,759
Belarus,115,145,260
Belgium,4,3,7
Bhutan,1,,1
Bolivia,27,7,34
Botswana,5,3,7
Brazil,116,103,219
Burkina Faso,7,2,9
Burundi,2,,2
Cameroon,20,8,28
Canada,228,295,523
Chad,,2,2
Chile,40,50,90
China,991,1117,2109
Colombia,21,102,123
Cote d'Ivoire,6,4,10
Croatia,22,11,32
Cyprus,,30,30
Denmark,115,54,169
Djibouti,19,,19
Dominican Republic,0,,0
DR Congo,43,,43
Ecuador,26,20,46
Egypt,1711,2355,4066
El Salvador,1,,1
Equatorial Guinea,14,,14
Estonia,31,30,61
Ethiopia,5,1,6
Finland,201,100,301
France,45,65,110
Gabon,6,,6
Georgia,,7,7
Germany (FRG),61,65,126
Ghana,14,,14
Greece,324,56,380
Honduras,1,10,11
Hungary,14,7,21
Huthi rebels (Yemen)*,,10,10
India,3296,3358,6655
Indonesia,389,1196,1585
Iran,398,4,402
Iraq,1827,712,2539
Ireland,43,3,46
Israel,610,528,1137
Italy,762,794,1556
Jamaica,22,,22
Japan,347,500,847
Jordan,212,386,598
Kazakhstan,244,209,452
Kenya,28,13,41
Kuwait,197,113,310
Kyrgyzstan,9,13,22
Laos,,1,1
Latvia,24,39,63
Lebanon,28,84,112
Lesotho,,1,1
Libya GNC,2,,2
Libya HoR,13,6,19
Lithuania,25,29,54
Luxembourg,1,,1
Malawi,1,,1
Malaysia,266,187,453
Maldives,5,,5
Mali,21,31,52
Malta,6,8,14
Mauritania,35,,35
Mauritius,26,19,45
Mexico,328,218,546
Montenegro,0,,0
Morocco,254,351,605
Myanmar,261,167,428
Namibia,,1,1
NATO**,12,12,24
Netherlands,115,35,150
Nicaragua,86,,86
Nigeria,76,26,103
Norway,151,361,512
Oman,415,783,1198
Pakistan,806,710,1516
Panama,3,15,17
Papua New Guinea,,4,4
Peru,220,64,284
Philippines,230,271,500
Poland,106,197,302
Portugal,19,8,27
Qatar,896,670,1566
Romania,186,99,284
Russia,169,34,203
Saudi Arabia,2986,4111,7097
Senegal,51,22,74
Serbia,14,65,79
Sierra Leone,2,,2
Singapore,718,428,1145
Slovakia,,47,47
Somalia,2,2,4
South Africa,4,,4
South Korea,1144,918,2062
South Sudan,8,,8
Spain,86,72,158
Sri Lanka,,45,45
Sudan,101,54,155
Sweden,77,38,114
Switzerland,64,34,97
Syria,5,22,26
Syria rebels*,,1,1
Taiwan,97,493,590
Tajikistan,8,,8
Tanzania,20,,20
Thailand,344,310,654
Trinidad and Tobago,30,,30
Tunisia,28,107,135
Turkey,348,410,758
Turkmenistan,428,75,503
UAE,1286,848,2134
Uganda,0,18,19
United Kingdom,259,899,1158
United Nations**,9,,9
United States,496,547,1043
Unknown recipient(s),57,17,74
Uruguay,,0,0
Uzbekistan,63,,63
Venezuela,93,,93
Viet Nam,858,690,1547
Western Sahara,0,,0
Yemen,4,,4
Zambia,43,40,83
,,,,
Total,32262,31106,63368
