"TIV of arms exports from all, 2016-2017",,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,
Figures may not add up due to the conventions of rounding.,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,
,,,,
,,,,
Source: SIPRI Arms Transfers Database,,,,
Generated: 13 May 2018,,,,
,,,,
,2016,2017,Total
Algeria,0,,0
Australia,134,97,231
Austria,15,22,37
Belarus,152,23,174
Belgium,7,12,19
Brazil,111,45,156
Brunei,12,,12
Bulgaria,61,,61
Canada,144,87,231
Chile,,0,0
China,2192,1131,3323
Colombia,,10,10
Croatia,,3,3
Czech Republic,133,110,243
Denmark,26,12,38
Dominican Republic,,4,4
Finland,66,58,124
France,2278,2162,4440
Georgia,7,7,14
Germany (FRG),2535,1653,4188
Greece,,30,30
India,42,56,98
Indonesia,94,102,196
Iran,5,10,15
Israel,1433,1263,2697
Italy,670,660,1330
Japan,,2,2
Jordan,17,77,94
Kyrgyzstan,5,5,10
Montenegro,,0,0
Netherlands,471,1167,1639
New Zealand,12,4,16
Norway,150,134,284
Oman,,7,7
Pakistan,1,3,4
Poland,4,3,7
Portugal,172,56,228
Russia,6937,6148,13085
Serbia,23,2,25
Singapore,47,,47
Slovakia,18,22,40
Slovenia,0,,0
South Africa,65,74,139
South Korea,585,587,1173
Spain,507,814,1321
Sweden,267,83,350
Switzerland,186,186,372
Taiwan,,2,2
Thailand,2,2,4
Turkey,311,244,555
UAE,73,72,144
Ukraine,535,240,775
United Kingdom,1365,1214,2579
United States,10304,12394,22698
Unknown supplier(s),21,7,28
Uzbekistan,68,,68
,,,,
Total,32262,31106,63368
